X,Y,Z,Rx,Ry,Rz
958.523,-26.037,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.974,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.91,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.846,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.783,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.719,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.655,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.592,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.528,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.464,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.401,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.337,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.274,-164.937,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.21,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.146,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.083,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-25.019,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.955,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.892,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.828,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.764,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.701,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.637,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.573,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.51,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.446,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.382,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.319,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.255,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.192,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.128,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.064,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-24.001,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.937,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.873,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.81,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.746,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.682,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.619,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.555,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.491,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.428,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.523,-23.364,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.524,-23.3,-164.936,-1652.8809999999999,-71.72500000000001,175.196
958.524,-23.237,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-23.173,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-23.11,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-23.046,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.982,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.919,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.855,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.791,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.728,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.664,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.6,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.537,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.473,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.409,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.346,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.282,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.219,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.155,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.091,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-22.028,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.964,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.9,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.837,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.773,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.709,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.646,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.582,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.518,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.455,-164.935,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.391,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.327,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.264,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.2,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.137,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.073,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-21.009,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.946,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.882,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.818,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.755,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.691,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.627,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.564,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.5,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.436,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.373,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.309,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.245,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.182,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.524,-20.118,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-20.055,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.991,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.927,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.864,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.8,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.736,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.673,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.609,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.545,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.482,-164.934,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.418,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.354,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.291,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.227,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.163,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.1,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-19.036,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.973,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.909,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.845,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.782,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.718,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.654,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.591,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.591,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
958.525,-18.527,-164.933,-1652.8809999999999,-71.72500000000001,175.196
